lead_id,data_criacao,segmento,categoria_produto,canal_origem,vendedor,cidade,estagio_funil,valor_proposta,data_fechamento_ou_perda,motivo_perda
1354,2025-12-30,Conta Corporativa (B2B),Alimentos e Bebidas,E-commerce,Carlos Souza,Campo Grande,Perdido,5937.74,2026-01-13,Prazo de entrega incompatível
1355,2025-02-24,Consumidor Final (B2C),Eletrônicos,Marketplace,João Pedro,Campo Grande,Venda Fechada,281.91,2025-03-07,
1356,2024-06-20,Consumidor Final (B2C),Moda e Vestuário,Instagram/Redes Sociais,Mariana Alves,Corumbá,Perdido,355.2,2024-06-24,Fora do orçamento (B2B)
1357,2025-11-06,Consumidor Final (B2C),Moda e Vestuário,Instagram/Redes Sociais,Rafael Torres,Dourados,Perdido,313.57,2025-11-21,Concorrente
1358,2025-07-30,Consumidor Final (B2C),Brinquedos,E-commerce,Rafael Torres,Corumbá,Qualificado,187.98,,
1359,2024-12-16,Consumidor Final (B2C),Móveis,Loja Física,Fernanda Lima,Campo Grande,Proposta Enviada,143.08,,
1360,2024-05-31,Conta Corporativa (B2B),Utilidades Domésticas,E-commerce,Ana Ribeiro,Ponta Porã,Venda Fechada,11043.98,2024-06-16,
1361,2024-05-11,Consumidor Final (B2C),Eletrônicos,Loja Física,João Pedro,Ponta Porã,Venda Fechada,330.83,2024-06-08,
1362,2024-09-17,Consumidor Final (B2C),Ferramentas,Vendedor Externo (B2B),Mariana Alves,Três Lagoas,Venda Fechada,147.36,2024-10-12,
1363,2024-12-14,Consumidor Final (B2C),Ferramentas,Loja Física,João Pedro,Campo Grande,Perdido,273.75,2024-12-31,Preço
1364,2024-06-24,Consumidor Final (B2C),Alimentos e Bebidas,Google Ads,Fernanda Lima,Campo Grande,Perdido,395.14,2024-06-30,Concorrente
1365,2024-06-04,Consumidor Final (B2C),Utilidades Domésticas,Indicação,Fernanda Lima,Campo Grande,Proposta Enviada,178.79,,
1366,2025-03-24,Consumidor Final (B2C),Moda e Vestuário,Loja Física,Mariana Alves,Dourados,Venda Fechada,245.68,2025-04-11,
1367,2025-10-01,Consumidor Final (B2C),Moda e Vestuário,Marketplace,Ana Ribeiro,Campo Grande,Lead,370.99,,
1368,2024-02-12,Conta Corporativa (B2B),Ferramentas,Indicação,Fernanda Lima,Ponta Porã,Venda Fechada,7073.37,2024-03-07,
1369,2024-10-21,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,Fernanda Lima,Três Lagoas,Perdido,235.78,2024-11-05,Desistência da compra
1370,2024-02-05,Conta Corporativa (B2B),Papelaria e Escritório,Google Ads,Rafael Torres,Dourados,Proposta Enviada,6133.03,,
1371,2024-05-23,Consumidor Final (B2C),Brinquedos,Loja Física,Mariana Alves,Campo Grande,Perdido,391.69,2024-06-06,Concorrente
1372,2024-04-23,Consumidor Final (B2C),Beleza e Higiene,Google Ads,Mariana Alves,Três Lagoas,Perdido,251.05,2024-05-11,Desistência da compra
1373,2024-02-19,Consumidor Final (B2C),Ferramentas,E-commerce,Mariana Alves,Campo Grande,Qualificado,317.88,,
1374,2025-10-08,Consumidor Final (B2C),Eletrônicos,E-commerce,Rafael Torres,Campo Grande,Qualificado,295.29,,
1375,2025-05-12,Consumidor Final (B2C),Beleza e Higiene,E-commerce,Ana Ribeiro,Campo Grande,Venda Fechada,50.0,2025-05-22,
1376,2024-10-09,Conta Corporativa (B2B),Casa e Decoração,Instagram/Redes Sociais,João Pedro,Dourados,Perdido,10246.27,2024-10-17,Preço
1377,2025-01-03,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,Carlos Souza,Campo Grande,Lead,252.44,,
1378,2025-11-20,Consumidor Final (B2C),Casa e Decoração,Loja Física,Fernanda Lima,Campo Grande,Perdido,366.29,2025-12-06,Desistência da compra
1379,2024-01-12,Consumidor Final (B2C),Moda e Vestuário,Vendedor Externo (B2B),Fernanda Lima,Campo Grande,Venda Fechada,459.88,2024-01-22,
1380,2025-12-04,Consumidor Final (B2C),Alimentos e Bebidas,Loja Física,Fernanda Lima,Corumbá,Venda Fechada,380.23,2025-12-30,
1381,2024-09-03,Consumidor Final (B2C),Beleza e Higiene,Instagram/Redes Sociais,Rafael Torres,Ponta Porã,Venda Fechada,330.69,2024-09-04,
1382,2024-04-26,Consumidor Final (B2C),Alimentos e Bebidas,Google Ads,Rafael Torres,Campo Grande,Lead,243.85,,
1383,2025-10-13,Consumidor Final (B2C),Moda e Vestuário,Marketplace,João Pedro,Três Lagoas,Perdido,232.46,2025-11-01,Prazo de entrega incompatível
1384,2024-02-27,Consumidor Final (B2C),Alimentos e Bebidas,E-commerce,Ana Ribeiro,Três Lagoas,Venda Fechada,183.21,2024-02-29,
1385,2025-04-02,Consumidor Final (B2C),Ferramentas,Indicação,Carlos Souza,Ponta Porã,Perdido,215.8,2025-04-11,Concorrente
1386,2025-12-10,Consumidor Final (B2C),Papelaria e Escritório,Indicação,Rafael Torres,Três Lagoas,Venda Fechada,333.44,2025-12-20,
1387,2025-03-21,Consumidor Final (B2C),Ferramentas,Loja Física,Ana Ribeiro,Ponta Porã,Perdido,389.37,2025-04-02,Sem retorno
1388,2024-12-06,Consumidor Final (B2C),Papelaria e Escritório,E-commerce,Rafael Torres,Campo Grande,Venda Fechada,477.72,2025-01-04,
1389,2025-09-22,Consumidor Final (B2C),Beleza e Higiene,Indicação,Mariana Alves,Dourados,Perdido,335.49,2025-10-09,Concorrente
1390,2024-08-04,Consumidor Final (B2C),Casa e Decoração,E-commerce,Rafael Torres,Ponta Porã,Perdido,324.12,2024-08-09,Sem retorno
1391,2024-02-03,Conta Corporativa (B2B),Eletrônicos,Marketplace,Fernanda Lima,Três Lagoas,Perdido,9429.11,2024-02-08,Preço
1392,2024-08-31,Conta Corporativa (B2B),Beleza e Higiene,E-commerce,João Pedro,Campo Grande,Venda Fechada,6017.0,2024-09-01,
1393,2024-06-15,Consumidor Final (B2C),Móveis,E-commerce,João Pedro,Ponta Porã,Perdido,356.06,2024-07-01,Prazo de entrega incompatível
1394,2024-07-21,Consumidor Final (B2C),Moda e Vestuário,Loja Física,Ana Ribeiro,Campo Grande,Venda Fechada,249.07,2024-08-10,
1395,2025-08-05,Consumidor Final (B2C),Eletrônicos,Indicação,João Pedro,Campo Grande,Perdido,408.52,2025-08-15,Concorrente
1396,2024-08-09,Consumidor Final (B2C),Utilidades Domésticas,Vendedor Externo (B2B),Ana Ribeiro,Campo Grande,Venda Fechada,329.6,2024-08-19,
1397,2024-08-20,Consumidor Final (B2C),Moda e Vestuário,E-commerce,Rafael Torres,Dourados,Venda Fechada,414.26,2024-09-11,
1398,2024-02-01,Consumidor Final (B2C),Ferramentas,Loja Física,Ana Ribeiro,Dourados,Proposta Enviada,323.5,,
1399,2025-11-25,Consumidor Final (B2C),Ferramentas,E-commerce,Mariana Alves,Ponta Porã,Proposta Enviada,230.84,,
1400,2025-02-24,Conta Corporativa (B2B),Beleza e Higiene,Indicação,Carlos Souza,Ponta Porã,Perdido,7744.98,2025-03-04,Prazo de entrega incompatível
1401,2025-03-02,Conta Corporativa (B2B),Eletrônicos,Loja Física,Carlos Souza,Campo Grande,Venda Fechada,7893.0,2025-03-24,
1402,2025-05-04,Conta Corporativa (B2B),Casa e Decoração,Marketplace,Carlos Souza,Dourados,Perdido,6379.73,2025-05-19,Concorrente
1403,2024-01-12,Consumidor Final (B2C),Casa e Decoração,Indicação,Mariana Alves,Corumbá,Qualificado,395.0,,
1404,2025-09-15,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,Mariana Alves,Dourados,Perdido,373.83,2025-09-24,Fora do orçamento (B2B)
1405,2025-10-20,Consumidor Final (B2C),Ferramentas,Loja Física,Fernanda Lima,Campo Grande,Perdido,234.88,2025-11-03,Fora do orçamento (B2B)
1406,2024-02-27,Consumidor Final (B2C),Eletrônicos,Loja Física,João Pedro,Ponta Porã,Perdido,319.03,2024-03-16,Preço
1407,2025-03-21,Consumidor Final (B2C),Moda e Vestuário,Loja Física,Rafael Torres,Campo Grande,Perdido,326.47,2025-04-04,Desistência da compra
1408,2024-03-03,Conta Corporativa (B2B),Alimentos e Bebidas,Marketplace,Mariana Alves,Três Lagoas,Perdido,12265.43,2024-03-08,Preço
1409,2024-04-25,Consumidor Final (B2C),Casa e Decoração,Loja Física,Rafael Torres,Campo Grande,Venda Fechada,419.45,2024-05-06,
1410,2025-01-13,Consumidor Final (B2C),Beleza e Higiene,Instagram/Redes Sociais,Mariana Alves,Corumbá,Perdido,286.02,2025-01-16,Prazo de entrega incompatível
1411,2025-01-24,Conta Corporativa (B2B),Utilidades Domésticas,Loja Física,Ana Ribeiro,Campo Grande,Perdido,8052.61,2025-02-01,Concorrente
1412,2024-06-09,Consumidor Final (B2C),Beleza e Higiene,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Perdido,360.66,2024-06-10,Concorrente
1413,2025-11-06,Consumidor Final (B2C),Casa e Decoração,E-commerce,Fernanda Lima,Ponta Porã,Perdido,359.33,2025-11-19,Desistência da compra
1414,2024-02-01,Conta Corporativa (B2B),Alimentos e Bebidas,Marketplace,Fernanda Lima,Três Lagoas,Perdido,10262.74,2024-02-05,Concorrente
1415,2025-04-17,Consumidor Final (B2C),Móveis,E-commerce,Rafael Torres,Dourados,Venda Fechada,283.38,2025-05-16,
1416,2024-08-10,Consumidor Final (B2C),Papelaria e Escritório,Instagram/Redes Sociais,João Pedro,Três Lagoas,Venda Fechada,455.82,2024-09-06,
1417,2024-11-09,Consumidor Final (B2C),Utilidades Domésticas,E-commerce,João Pedro,Três Lagoas,Venda Fechada,282.97,2024-11-26,
1418,2025-11-20,Consumidor Final (B2C),Ferramentas,E-commerce,Ana Ribeiro,Dourados,Perdido,270.7,2025-11-22,Fora do orçamento (B2B)
1419,2025-02-21,Consumidor Final (B2C),Móveis,Instagram/Redes Sociais,Mariana Alves,Corumbá,Lead,326.2,,
1420,2024-04-12,Consumidor Final (B2C),Utilidades Domésticas,E-commerce,Mariana Alves,Ponta Porã,Venda Fechada,308.07,2024-04-21,
1421,2024-01-29,Consumidor Final (B2C),Beleza e Higiene,Loja Física,Fernanda Lima,Campo Grande,Perdido,231.87,2024-01-31,Prazo de entrega incompatível
1422,2025-05-22,Consumidor Final (B2C),Alimentos e Bebidas,E-commerce,Carlos Souza,Campo Grande,Perdido,318.99,2025-06-05,Desistência da compra
1423,2024-06-10,Consumidor Final (B2C),Móveis,E-commerce,Ana Ribeiro,Campo Grande,Venda Fechada,244.77,2024-07-06,
1424,2025-05-20,Conta Corporativa (B2B),Moda e Vestuário,Loja Física,João Pedro,Dourados,Perdido,6089.08,2025-05-30,Fora do orçamento (B2B)
1425,2025-10-02,Consumidor Final (B2C),Casa e Decoração,Marketplace,Mariana Alves,Ponta Porã,Venda Fechada,263.84,2025-10-22,
1426,2025-02-16,Conta Corporativa (B2B),Moda e Vestuário,Indicação,Rafael Torres,Corumbá,Venda Fechada,10357.96,2025-03-05,
1427,2025-06-16,Consumidor Final (B2C),Casa e Decoração,Loja Física,Ana Ribeiro,Dourados,Venda Fechada,244.1,2025-06-23,
1428,2025-12-13,Consumidor Final (B2C),Casa e Decoração,E-commerce,Rafael Torres,Corumbá,Qualificado,383.18,,
1429,2024-10-05,Consumidor Final (B2C),Moda e Vestuário,Indicação,Ana Ribeiro,Dourados,Perdido,294.57,2024-10-13,Sem retorno
1430,2024-08-26,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,Mariana Alves,Três Lagoas,Venda Fechada,281.96,2024-09-08,
1431,2024-10-02,Consumidor Final (B2C),Móveis,Loja Física,João Pedro,Três Lagoas,Proposta Enviada,493.12,,
1432,2025-10-18,Consumidor Final (B2C),Moda e Vestuário,Loja Física,Fernanda Lima,Campo Grande,Venda Fechada,234.23,2025-10-29,
1433,2024-04-15,Consumidor Final (B2C),Beleza e Higiene,Instagram/Redes Sociais,João Pedro,Campo Grande,Perdido,350.61,2024-04-19,Fora do orçamento (B2B)
1434,2025-01-06,Conta Corporativa (B2B),Brinquedos,Vendedor Externo (B2B),João Pedro,Campo Grande,Perdido,7224.53,2025-01-19,Concorrente
1435,2025-02-27,Consumidor Final (B2C),Beleza e Higiene,Marketplace,Mariana Alves,Corumbá,Venda Fechada,446.96,2025-03-20,
1436,2024-06-13,Consumidor Final (B2C),Alimentos e Bebidas,Google Ads,Rafael Torres,Campo Grande,Lead,292.13,,
1437,2025-09-09,Conta Corporativa (B2B),Utilidades Domésticas,Marketplace,Carlos Souza,Três Lagoas,Lead,7440.8,,
1438,2024-03-14,Consumidor Final (B2C),Ferramentas,Marketplace,Ana Ribeiro,Corumbá,Perdido,382.34,2024-03-29,Desistência da compra
1439,2024-05-13,Consumidor Final (B2C),Alimentos e Bebidas,E-commerce,Mariana Alves,Ponta Porã,Qualificado,327.85,,
1440,2024-03-10,Consumidor Final (B2C),Móveis,Google Ads,Ana Ribeiro,Ponta Porã,Qualificado,226.64,,
1441,2024-06-09,Consumidor Final (B2C),Alimentos e Bebidas,Indicação,Mariana Alves,Dourados,Proposta Enviada,317.37,,
1442,2025-07-23,Consumidor Final (B2C),Móveis,E-commerce,Fernanda Lima,Três Lagoas,Lead,332.54,,
1443,2024-12-02,Consumidor Final (B2C),Beleza e Higiene,Marketplace,João Pedro,Campo Grande,Lead,500.4,,
1444,2025-04-19,Consumidor Final (B2C),Moda e Vestuário,Loja Física,Ana Ribeiro,Campo Grande,Perdido,247.55,2025-04-23,Sem retorno
1445,2025-05-30,Consumidor Final (B2C),Brinquedos,Loja Física,Fernanda Lima,Corumbá,Venda Fechada,471.8,2025-06-18,
1446,2024-10-01,Consumidor Final (B2C),Ferramentas,E-commerce,Rafael Torres,Campo Grande,Venda Fechada,257.89,2024-10-12,
1447,2025-01-14,Conta Corporativa (B2B),Utilidades Domésticas,Loja Física,Fernanda Lima,Três Lagoas,Venda Fechada,9901.2,2025-02-12,
1448,2024-03-27,Consumidor Final (B2C),Beleza e Higiene,Loja Física,Mariana Alves,Três Lagoas,Perdido,277.24,2024-03-30,Concorrente
1449,2024-08-04,Consumidor Final (B2C),Alimentos e Bebidas,Indicação,Mariana Alves,Campo Grande,Perdido,284.95,2024-08-18,Concorrente
1450,2024-10-14,Consumidor Final (B2C),Papelaria e Escritório,Instagram/Redes Sociais,João Pedro,Três Lagoas,Perdido,442.02,2024-10-28,Fora do orçamento (B2B)
1451,2025-09-07,Consumidor Final (B2C),Casa e Decoração,Indicação,Fernanda Lima,Campo Grande,Venda Fechada,346.29,2025-09-12,
1452,2025-10-11,Conta Corporativa (B2B),Casa e Decoração,Loja Física,Mariana Alves,Três Lagoas,Perdido,9116.52,2025-10-23,Desistência da compra
1453,2024-12-16,Consumidor Final (B2C),Alimentos e Bebidas,E-commerce,Carlos Souza,Campo Grande,Venda Fechada,291.72,2025-01-04,
1454,2025-01-29,Consumidor Final (B2C),Casa e Decoração,Marketplace,Mariana Alves,Ponta Porã,Venda Fechada,403.04,2025-02-26,
1455,2024-09-09,Consumidor Final (B2C),Beleza e Higiene,Marketplace,Rafael Torres,Campo Grande,Proposta Enviada,247.98,,
1456,2024-01-07,Consumidor Final (B2C),Brinquedos,Loja Física,Mariana Alves,Três Lagoas,Venda Fechada,270.26,2024-01-29,
1457,2024-08-27,Consumidor Final (B2C),Ferramentas,Google Ads,Carlos Souza,Corumbá,Perdido,263.68,2024-08-28,Fora do orçamento (B2B)
1458,2025-02-02,Consumidor Final (B2C),Alimentos e Bebidas,Google Ads,Carlos Souza,Três Lagoas,Lead,340.69,,
1459,2025-08-11,Conta Corporativa (B2B),Ferramentas,Instagram/Redes Sociais,Carlos Souza,Três Lagoas,Perdido,7058.11,2025-08-24,Sem retorno
1460,2025-05-20,Conta Corporativa (B2B),Ferramentas,E-commerce,Carlos Souza,Ponta Porã,Venda Fechada,8919.39,2025-06-01,
1461,2024-07-21,Consumidor Final (B2C),Casa e Decoração,Marketplace,Fernanda Lima,Ponta Porã,Perdido,313.8,2024-07-24,Desistência da compra
1462,2025-06-25,Consumidor Final (B2C),Casa e Decoração,Loja Física,Mariana Alves,Dourados,Venda Fechada,306.53,2025-07-09,
1463,2025-07-08,Consumidor Final (B2C),Moda e Vestuário,Instagram/Redes Sociais,Mariana Alves,Campo Grande,Proposta Enviada,404.97,,
1464,2025-04-01,Consumidor Final (B2C),Eletrônicos,E-commerce,Fernanda Lima,Dourados,Venda Fechada,324.94,2025-04-06,
1465,2025-02-22,Consumidor Final (B2C),Móveis,Loja Física,Ana Ribeiro,Campo Grande,Perdido,283.58,2025-03-13,Prazo de entrega incompatível
1466,2025-11-09,Conta Corporativa (B2B),Moda e Vestuário,Google Ads,João Pedro,Campo Grande,Perdido,4150.35,2025-11-22,Preço
1467,2024-02-09,Consumidor Final (B2C),Eletrônicos,Indicação,Rafael Torres,Campo Grande,Perdido,398.22,2024-02-19,Fora do orçamento (B2B)
1468,2025-07-18,Consumidor Final (B2C),Móveis,Indicação,Fernanda Lima,Campo Grande,Venda Fechada,190.44,2025-08-05,
1469,2024-07-15,Consumidor Final (B2C),Utilidades Domésticas,Google Ads,Carlos Souza,Ponta Porã,Perdido,262.1,2024-07-17,Desistência da compra
1470,2024-10-18,Conta Corporativa (B2B),Moda e Vestuário,Marketplace,Ana Ribeiro,Corumbá,Venda Fechada,10622.28,2024-10-22,
1471,2024-02-08,Consumidor Final (B2C),Ferramentas,Vendedor Externo (B2B),Mariana Alves,Campo Grande,Venda Fechada,426.73,2024-02-28,
1472,2025-08-09,Consumidor Final (B2C),Eletrônicos,Vendedor Externo (B2B),Carlos Souza,Corumbá,Perdido,296.13,2025-08-28,Fora do orçamento (B2B)
1473,2025-11-23,Consumidor Final (B2C),Casa e Decoração,Indicação,Ana Ribeiro,Campo Grande,Perdido,291.46,2025-12-03,Prazo de entrega incompatível
1474,2024-10-27,Consumidor Final (B2C),Moda e Vestuário,Loja Física,Carlos Souza,Corumbá,Venda Fechada,247.69,2024-11-17,
1475,2025-02-08,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,Ana Ribeiro,Ponta Porã,Venda Fechada,256.48,2025-02-15,
1476,2024-04-20,Consumidor Final (B2C),Alimentos e Bebidas,E-commerce,Carlos Souza,Campo Grande,Perdido,477.61,2024-04-30,Concorrente
1477,2025-01-04,Consumidor Final (B2C),Moda e Vestuário,E-commerce,Rafael Torres,Campo Grande,Proposta Enviada,356.69,,
1478,2025-03-09,Consumidor Final (B2C),Alimentos e Bebidas,E-commerce,Ana Ribeiro,Ponta Porã,Venda Fechada,372.29,2025-03-28,
1479,2024-08-05,Consumidor Final (B2C),Brinquedos,Instagram/Redes Sociais,João Pedro,Três Lagoas,Qualificado,209.37,,
1480,2024-03-07,Consumidor Final (B2C),Brinquedos,Indicação,João Pedro,Campo Grande,Venda Fechada,503.47,2024-04-01,
1481,2025-05-20,Consumidor Final (B2C),Ferramentas,Indicação,João Pedro,Três Lagoas,Venda Fechada,313.62,2025-06-02,
1482,2024-08-05,Conta Corporativa (B2B),Alimentos e Bebidas,Instagram/Redes Sociais,Mariana Alves,Ponta Porã,Venda Fechada,11146.11,2024-08-22,
1483,2024-09-03,Conta Corporativa (B2B),Móveis,Indicação,Fernanda Lima,Campo Grande,Lead,9069.86,,
1484,2025-07-21,Consumidor Final (B2C),Casa e Decoração,Loja Física,Carlos Souza,Campo Grande,Perdido,320.43,2025-08-05,Prazo de entrega incompatível
1485,2024-12-10,Consumidor Final (B2C),Eletrônicos,Marketplace,Fernanda Lima,Campo Grande,Lead,169.51,,
1486,2024-12-10,Consumidor Final (B2C),Móveis,Loja Física,Mariana Alves,Campo Grande,Lead,299.33,,
1487,2024-11-19,Consumidor Final (B2C),Ferramentas,Marketplace,Carlos Souza,Corumbá,Perdido,305.45,2024-11-22,Preço
1488,2024-03-05,Consumidor Final (B2C),Papelaria e Escritório,Marketplace,Ana Ribeiro,Dourados,Perdido,300.2,2024-03-09,Prazo de entrega incompatível
1489,2024-08-02,Consumidor Final (B2C),Móveis,Vendedor Externo (B2B),Mariana Alves,Campo Grande,Lead,287.1,,
1490,2025-07-30,Consumidor Final (B2C),Casa e Decoração,Instagram/Redes Sociais,Ana Ribeiro,Campo Grande,Venda Fechada,467.83,2025-08-25,
1491,2025-01-27,Conta Corporativa (B2B),Beleza e Higiene,Loja Física,Rafael Torres,Campo Grande,Proposta Enviada,12131.65,,
1492,2025-12-27,Consumidor Final (B2C),Casa e Decoração,Vendedor Externo (B2B),João Pedro,Dourados,Venda Fechada,407.83,2025-12-31,
1493,2024-09-16,Consumidor Final (B2C),Ferramentas,E-commerce,Rafael Torres,Campo Grande,Venda Fechada,473.52,2024-09-26,
1494,2025-05-04,Consumidor Final (B2C),Utilidades Domésticas,Indicação,Fernanda Lima,Dourados,Perdido,202.08,2025-05-20,Fora do orçamento (B2B)
1495,2025-02-17,Consumidor Final (B2C),Ferramentas,Google Ads,Carlos Souza,Três Lagoas,Perdido,482.83,2025-02-25,Concorrente
1496,2024-04-15,Conta Corporativa (B2B),Papelaria e Escritório,Marketplace,Mariana Alves,Campo Grande,Perdido,6688.64,2024-04-30,Fora do orçamento (B2B)
1497,2024-03-22,Consumidor Final (B2C),Papelaria e Escritório,Loja Física,João Pedro,Campo Grande,Proposta Enviada,410.62,,
1498,2024-12-08,Consumidor Final (B2C),Casa e Decoração,Loja Física,Ana Ribeiro,Campo Grande,Perdido,437.57,2024-12-15,Concorrente
1499,2024-01-19,Consumidor Final (B2C),Móveis,E-commerce,Fernanda Lima,Corumbá,Venda Fechada,337.43,2024-02-15,
1500,2024-08-07,Consumidor Final (B2C),Móveis,Google Ads,Fernanda Lima,Três Lagoas,Perdido,269.81,2024-08-09,Concorrente
1501,2025-12-11,Consumidor Final (B2C),Casa e Decoração,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Lead,258.61,,
1502,2025-05-22,Consumidor Final (B2C),Móveis,Indicação,Carlos Souza,Três Lagoas,Perdido,423.71,2025-05-30,Fora do orçamento (B2B)
1503,2024-08-06,Consumidor Final (B2C),Moda e Vestuário,E-commerce,Ana Ribeiro,Campo Grande,Venda Fechada,406.07,2024-08-21,
1504,2024-02-08,Consumidor Final (B2C),Móveis,Marketplace,Rafael Torres,Dourados,Lead,453.17,,
1505,2025-08-26,Consumidor Final (B2C),Beleza e Higiene,Vendedor Externo (B2B),Ana Ribeiro,Ponta Porã,Venda Fechada,395.33,2025-09-02,
1506,2024-07-10,Consumidor Final (B2C),Alimentos e Bebidas,Loja Física,Rafael Torres,Campo Grande,Venda Fechada,353.16,2024-07-13,
1507,2024-04-28,Consumidor Final (B2C),Casa e Decoração,Marketplace,João Pedro,Campo Grande,Proposta Enviada,253.62,,
1508,2024-06-28,Consumidor Final (B2C),Beleza e Higiene,E-commerce,João Pedro,Campo Grande,Perdido,352.43,2024-06-30,Sem retorno
1509,2025-08-31,Consumidor Final (B2C),Móveis,Indicação,Mariana Alves,Campo Grande,Lead,404.04,,
1510,2025-11-07,Consumidor Final (B2C),Brinquedos,E-commerce,Fernanda Lima,Ponta Porã,Perdido,365.29,2025-11-17,Fora do orçamento (B2B)
1511,2025-12-29,Consumidor Final (B2C),Alimentos e Bebidas,Vendedor Externo (B2B),Rafael Torres,Campo Grande,Venda Fechada,388.0,2025-12-31,
1512,2025-02-18,Consumidor Final (B2C),Utilidades Domésticas,Marketplace,João Pedro,Campo Grande,Perdido,338.83,2025-02-20,Desistência da compra
1513,2024-02-05,Consumidor Final (B2C),Ferramentas,Marketplace,Carlos Souza,Campo Grande,Perdido,304.15,2024-02-19,Concorrente
1514,2024-05-10,Conta Corporativa (B2B),Papelaria e Escritório,Instagram/Redes Sociais,Rafael Torres,Ponta Porã,Perdido,5124.93,2024-05-11,Concorrente
1515,2025-12-23,Consumidor Final (B2C),Beleza e Higiene,Marketplace,Rafael Torres,Ponta Porã,Perdido,429.95,2025-12-24,Desistência da compra
1516,2024-10-23,Consumidor Final (B2C),Ferramentas,E-commerce,Carlos Souza,Campo Grande,Perdido,217.21,2024-10-27,Concorrente
1517,2024-10-02,Consumidor Final (B2C),Alimentos e Bebidas,Marketplace,Carlos Souza,Campo Grande,Perdido,373.25,2024-10-04,Desistência da compra
1518,2025-07-21,Consumidor Final (B2C),Casa e Decoração,E-commerce,Ana Ribeiro,Dourados,Venda Fechada,371.24,2025-08-02,
1519,2025-03-02,Consumidor Final (B2C),Brinquedos,E-commerce,Mariana Alves,Ponta Porã,Perdido,283.69,2025-03-07,Prazo de entrega incompatível
1520,2024-09-05,Consumidor Final (B2C),Brinquedos,Vendedor Externo (B2B),Mariana Alves,Campo Grande,Venda Fechada,393.98,2024-09-28,
1521,2024-01-04,Conta Corporativa (B2B),Moda e Vestuário,Google Ads,João Pedro,Campo Grande,Perdido,5861.75,2024-01-09,Desistência da compra
1522,2025-07-06,Consumidor Final (B2C),Beleza e Higiene,Indicação,Mariana Alves,Dourados,Venda Fechada,360.29,2025-07-26,
1523,2025-08-18,Conta Corporativa (B2B),Papelaria e Escritório,Indicação,João Pedro,Campo Grande,Perdido,8992.45,2025-08-31,Preço
1524,2024-01-20,Consumidor Final (B2C),Móveis,Marketplace,Mariana Alves,Corumbá,Perdido,243.84,2024-01-31,Concorrente
1525,2025-01-15,Conta Corporativa (B2B),Moda e Vestuário,Instagram/Redes Sociais,Mariana Alves,Campo Grande,Qualificado,9937.62,,
1526,2024-10-12,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,Rafael Torres,Campo Grande,Venda Fechada,420.2,2024-10-29,
1527,2025-06-03,Consumidor Final (B2C),Moda e Vestuário,Marketplace,Mariana Alves,Campo Grande,Perdido,118.2,2025-06-22,Fora do orçamento (B2B)
1528,2024-05-16,Consumidor Final (B2C),Beleza e Higiene,Google Ads,Fernanda Lima,Campo Grande,Perdido,394.93,2024-05-29,Sem retorno
1529,2024-06-19,Consumidor Final (B2C),Moda e Vestuário,Indicação,Mariana Alves,Campo Grande,Proposta Enviada,159.13,,
1530,2024-02-17,Consumidor Final (B2C),Alimentos e Bebidas,Marketplace,Fernanda Lima,Dourados,Lead,316.58,,
1531,2024-02-11,Consumidor Final (B2C),Moda e Vestuário,Indicação,Ana Ribeiro,Corumbá,Venda Fechada,293.14,2024-02-19,
1532,2025-08-20,Consumidor Final (B2C),Utilidades Domésticas,Vendedor Externo (B2B),Rafael Torres,Três Lagoas,Proposta Enviada,291.31,,
1533,2025-02-11,Consumidor Final (B2C),Ferramentas,Google Ads,João Pedro,Ponta Porã,Perdido,542.4,2025-02-17,Fora do orçamento (B2B)
1534,2025-12-23,Consumidor Final (B2C),Beleza e Higiene,Marketplace,João Pedro,Campo Grande,Perdido,273.02,2025-12-30,Preço
1535,2025-02-08,Consumidor Final (B2C),Utilidades Domésticas,Vendedor Externo (B2B),João Pedro,Ponta Porã,Venda Fechada,228.86,2025-03-04,
1536,2025-04-10,Consumidor Final (B2C),Alimentos e Bebidas,Indicação,João Pedro,Campo Grande,Perdido,161.6,2025-04-28,Preço
1537,2025-11-05,Conta Corporativa (B2B),Móveis,Loja Física,Carlos Souza,Campo Grande,Perdido,9918.07,2025-11-16,Fora do orçamento (B2B)
1538,2024-05-29,Consumidor Final (B2C),Eletrônicos,Loja Física,Ana Ribeiro,Campo Grande,Proposta Enviada,353.77,,
1539,2024-10-20,Consumidor Final (B2C),Beleza e Higiene,E-commerce,João Pedro,Ponta Porã,Perdido,280.48,2024-10-26,Fora do orçamento (B2B)
1540,2024-08-26,Consumidor Final (B2C),Ferramentas,Indicação,Rafael Torres,Ponta Porã,Perdido,290.55,2024-09-14,Desistência da compra
1541,2024-09-05,Consumidor Final (B2C),Beleza e Higiene,Indicação,Rafael Torres,Campo Grande,Perdido,408.95,2024-09-15,Sem retorno
